Booking ID,Status,Passenger status,Passengers,Pickup ID,Dropoff ID,Actual Pickup Time,Actual Dropoff Time,name_pickup,district_pickup,Pickup Latitude,Pickup Longitude,name_dropoff,district_dropoff,Dropoff Latitude,Dropoff Longitude
268967,Validated,Trip completed,1,15,0,2024-09-28 10:00:00,2024-09-28 10:31:00,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268752,Validated,Trip completed,3,64,0,2024-09-28 10:12:00,2024-09-28 10:31:00,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142,"Kinding, Bahnhof",Kinding,48.992168,11.377365
265705,Cancelled by client,Cancelled,4,0,11,2024-09-28 10:27:00,2024-09-28 10:34:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705
268750,Cancelled by client,Cancelled,1,64,0,2024-09-28 10:32:00,2024-09-28 11:08:00,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142,"Kinding, Bahnhof",Kinding,48.992168,11.377365
264634,Validated,Trip completed,2,36,0,2024-09-28 10:43:00,2024-09-28 11:05:00,"Paulushofen, Am Haar",Paulushofen,49.013625,11.502735,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268706,Validated,Trip completed,1,22,0,2024-09-28 10:50:00,2024-09-28 11:05:00,"Beilngries, Kelheimer Straße",Beilngries,49.032928,11.479163,"Kinding, Bahnhof",Kinding,48.992168,11.377365
264535,Validated,Trip completed,2,25,0,2024-09-28 10:53:00,2024-09-28 11:05:00,"Beilngries, Ottmaringer Straße",Beilngries,49.038975,11.480128,"Kinding, Bahnhof",Kinding,48.992168,11.377365
264537,Cancelled by driver,Cancelled,2,31,0,2024-09-28 10:56:00,2024-09-28 11:09:00,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268824,Validated,Trip completed,3,29,15,2024-09-28 11:21:00,2024-09-28 11:33:00,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488
268973,Validated,Trip completed,1,30,15,2024-09-28 11:24:00,2024-09-28 11:33:00,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488
268984,Validated,Trip completed,1,30,15,2024-09-28 11:24:00,2024-09-28 11:33:00,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488
266203,Validated,Trip completed,1,67,25,2024-09-28 11:30:00,2024-09-28 11:39:00,Kaldorf,Wiesenhofen,49.048472,11.431715,"Beilngries, Ottmaringer Straße",Beilngries,49.038975,11.480128
268614,Validated,Trip completed,1,41,30,2024-09-28 11:51:00,2024-09-28 12:01:00,"Grampersdorf, Kirchstraße",Grampersdorf,48.97066,11.475578,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
268854,Validated,Trip completed,2,11,47,2024-09-28 12:06:00,2024-09-28 12:24:00,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705,Kirchbuch,Kirchbuch,48.965578,11.50951
268289,Validated,Trip completed,1,40,30,2024-09-28 12:16:00,2024-09-28 12:46:00,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
